Player,Tm,Pos,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,Int,Fumbles,FumblesLost
Ashton Dulin,IND,WR,25,1,0,6,3,0,0,0,0,0,0,46,0,5,0,0,0
Nyheim Hines,IND,RB,26,1,0,6,6,0,0,0,4,0,3,50,0,5,0,1,0
Ezekiel Elliott,DAL,RB,27,1,1,2,1,0,0,0,52,0,10,-3,0,5,0,0,0
Andrew Beck,DEN,TE,26,1,1,3,2,0,0,0,0,0,0,52,0,5,0,0,0
Melvin Gordon,DEN,RB,29,1,0,2,2,0,0,0,58,0,12,14,0,5,0,1,1
Romeo Doubs,GNB,WR,22,1,0,5,4,0,0,0,11,0,1,37,0,5,0,0,0
Jerick McKinnon,KAN,RB,30,1,0,4,3,0,0,0,22,0,4,27,0,5,0,0,0
Alvin Kamara,NOR,RB,27,1,1,4,3,0,0,0,39,0,9,7,0,5,0,0,0
Elijah Moore,NYJ,WR,22,1,1,7,5,0,0,0,0,0,0,49,0,5,0,0,0
Garrett Wilson,NYJ,WR,22,1,0,8,4,0,0,0,0,0,0,52,0,5,0,0,0
Kyle Philips,TEN,WR,23,1,0,9,6,0,0,0,0,0,0,66,0,5,0,1,1
Chase Claypool,PIT,WR,24,1,1,6,4,0,0,0,36,0,6,18,0,5,0,0,0
Mark Andrews,BAL,TE,27,1,1,7,5,0,0,0,0,0,0,52,0,5,0,0,0
Kenyan Drake,BAL,RB,28,1,1,1,1,0,0,0,31,0,11,15,0,5,0,0,0
Brandon Aiyuk,SFO,WR,24,1,1,2,2,0,0,0,7,0,1,40,0,5,0,0,0
J.D. McKissic,WAS,RB,29,1,0,3,3,0,0,0,8,0,3,20,0,5,0,0,0
Logan Thomas,WAS,TE,31,1,1,6,3,0,0,0,0,0,0,45,0,5,0,0,0
KhaDarel Hodge,ATL,WR,27,1,1,3,3,0,0,0,0,0,0,38,0,4,0,0,0
Samaje Perine,CIN,RB,27,1,0,5,3,0,0,0,4,0,1,33,0,4,0,0,0
Anthony Schwartz,CLE,WR,22,1,0,2,1,0,0,0,20,0,2,19,0,4,0,0,0
Parris Campbell,IND,WR,25,1,1,4,3,0,0,0,0,0,0,37,0,4,0,0,0
Mike Strachan,IND,WR,25,1,0,2,2,0,0,0,0,0,0,36,0,4,0,0,0
Dak Prescott,DAL,QB,29,1,1,0,0,134,0,29,11,0,2,0,0,4,1,0,0
T.J. Hockenson,DET,TE,25,1,1,7,4,0,0,0,0,0,0,38,0,4,0,0,0
Aaron Rodgers,GNB,QB,39,1,1,0,0,195,0,34,-1,0,1,0,0,4,1,1,1
Robert Tonyan,GNB,TE,28,1,1,5,3,0,0,0,0,0,0,36,0,4,0,0,0
Christian Watson,GNB,WR,23,1,1,4,2,0,0,0,7,0,1,34,0,4,0,0,0
Dameon Pierce,HOU,RB,22,1,1,1,1,0,0,0,33,0,11,6,0,4,0,0,0
Marvin Jones,JAX,WR,32,1,1,6,4,0,0,0,0,0,0,38,0,4,0,0,0
Marquez Valdes-Scantling,KAN,WR,28,1,1,4,4,0,0,0,-3,0,1,44,0,4,0,0,0
Alexander Mattison,MIN,RB,24,1,0,0,0,0,0,0,36,0,8,0,0,4,0,0,0
Adam Thielen,MIN,WR,32,1,1,4,3,0,0,0,0,0,0,36,0,4,0,0,0
Juwan Johnson,NOR,TE,26,1,0,5,2,0,0,0,0,0,0,43,0,4,0,0,0
Kendrick Bourne,NWE,WR,27,1,0,1,1,0,0,0,0,0,0,41,0,4,0,0,0
Braxton Berrios,NYJ,WR,27,1,0,6,5,0,0,0,0,0,0,37,0,4,0,0,0
Breece Hall,NYJ,RB,21,1,0,10,6,0,0,0,23,0,6,38,0,4,0,1,1
Zach Gentry,PIT,TE,26,1,0,2,2,0,0,0,0,0,0,40,0,4,0,0,0
Tyler Higbee,LAR,TE,29,1,1,11,5,0,0,0,0,0,0,39,0,4,0,0,0
Joshua Kelley,LAC,RB,25,1,0,2,2,0,0,0,21,0,4,14,0,4,0,0,0
Elijah Mitchell,SFO,RB,24,1,1,0,0,0,0,0,41,0,6,0,0,4,0,0,0
Chris Godwin,TAM,WR,26,1,1,3,3,0,0,0,0,0,0,35,0,4,0,0,0
Olamide Zaccheaus,ATL,WR,25,1,1,4,4,0,0,0,0,0,0,49,0,3,0,1,1
Jamison Crowder,BUF,WR,29,1,0,4,3,0,0,0,0,0,0,28,0,3,0,0,0
Tee Higgins,CIN,WR,23,1,1,2,2,0,0,0,0,0,0,27,0,3,0,0,0
Mike Thomas,CIN,WR,28,1,0,5,1,0,0,0,0,0,0,5,0,3,0,0,0
Mo Alie-Cox,IND,TE,29,1,1,2,2,0,0,0,0,0,0,26,0,3,0,0,0
CeeDee Lamb,DAL,WR,23,1,1,11,2,0,0,0,0,0,0,29,0,3,0,0,0
Cooper Rush,DAL,QB,29,1,0,0,0,64,0,13,0,0,0,0,0,3,0,0,0
Albert Okwuegbunam,DEN,TE,24,1,0,6,5,0,0,0,0,0,0,33,0,3,0,0,0
Josh Reynolds,DET,WR,27,1,1,3,1,0,0,0,0,0,0,28,0,3,0,0,0
Josiah Deguara,GNB,TE,25,1,0,2,2,0,0,0,0,0,0,28,0,3,0,0,0
Jordan Love,GNB,QB,24,1,0,0,0,65,0,5,0,0,0,0,0,3,0,0,0
Nico Collins,HOU,WR,23,1,1,3,2,0,0,0,0,0,0,26,0,3,0,0,0
Chris Moore,HOU,WR,29,1,0,3,3,0,0,0,0,0,0,31,0,3,0,0,0
Evan Engram,JAX,TE,28,1,1,4,4,0,0,0,0,0,0,28,0,3,0,0,0
Skyy Moore,KAN,WR,22,1,0,1,1,0,0,0,0,0,0,30,0,3,0,0,0
Raheem Mostert,MIA,RB,30,1,0,1,1,0,0,0,16,0,5,16,0,3,0,0,0
Cedrick Wilson Jr.,MIA,WR,27,1,0,2,2,0,0,0,8,0,1,20,0,3,0,0,0
Jonnu Smith,NWE,TE,27,1,1,4,3,0,0,0,0,0,0,33,0,3,0,0,0
Rhamondre Stevenson,NWE,RB,24,1,0,2,2,0,0,0,25,0,8,2,0,3,0,0,0
Ben Skowronek,LAR,WR,25,1,1,6,4,0,0,0,0,0,0,25,0,3,0,0,0
Tyler Lockett,SEA,WR,30,1,1,4,3,0,0,0,0,0,0,28,0,3,0,0,0
Jeff Wilson,SFO,RB,27,1,0,2,2,0,0,0,22,0,9,8,0,3,0,0,0
Kyle Pitts,ATL,TE,22,1,1,7,2,0,0,0,0,0,0,19,0,2,0,0,0
Zack Moss,BUF,RB,25,1,0,6,6,0,0,0,15,0,6,21,0,2,0,1,1
Byron Pringle,CHI,WR,29,1,0,2,1,0,0,0,0,0,0,22,0,2,0,0,0
Harrison Bryant,CLE,TE,24,1,0,4,2,0,0,0,0,0,0,18,0,2,0,0,0
Amari Cooper,CLE,WR,28,1,1,6,3,0,0,0,0,0,0,17,0,2,0,0,0
Kylen Granson,IND,TE,24,1,0,7,3,0,0,0,0,0,0,22,0,2,0,0,0
Trace McSorley,ARI,QB,27,1,0,0,0,12,0,4,20,0,3,0,0,2,0,0,0
Dennis Houston,DAL,WR,23,1,0,5,2,0,0,0,0,0,0,16,0,2,0,0,0
Tony Pollard,DAL,RB,25,1,1,2,2,0,0,0,8,0,6,14,0,2,0,0,0
Sammy Watkins,GNB,WR,29,1,1,3,3,0,0,0,0,0,0,18,0,2,0,0,0
Juwann Winfree,GNB,WR,26,1,0,1,1,0,0,0,0,0,0,17,0,2,0,0,0
Pharaoh Brown,HOU,TE,28,1,1,1,1,0,0,0,0,0,0,17,0,2,0,0,0
Johnny Mundt,MIN,TE,28,1,1,3,3,0,0,0,0,0,0,17,0,2,0,0,0
Hunter Henry,NWE,TE,28,1,1,3,2,0,0,0,0,0,0,20,0,2,0,0,0
Matt Breida,NYG,RB,27,1,0,0,0,0,0,0,24,0,5,0,0,2,0,0,0
Kenny Golladay,NYG,WR,29,1,1,2,2,0,0,0,0,0,0,22,0,2,0,0,0
Kadarius Toney,NYG,WR,23,1,0,0,0,0,0,0,23,0,2,0,0,2,0,0,0
Cody Hollister,TEN,WR,29,1,0,1,1,0,0,0,0,0,0,22,0,2,0,0,0
Geoff Swaim,TEN,TE,29,1,1,4,3,0,0,0,0,0,0,19,0,2,0,0,0
Mack Hollins,LVR,WR,29,1,1,1,1,0,0,0,0,0,0,16,0,2,0,0,0
Hunter Renfrow,LVR,WR,27,1,1,6,3,0,0,0,0,0,0,21,0,2,0,1,0
Demarcus Robinson,BAL,WR,28,1,0,4,2,0,0,0,0,0,0,19,0,2,0,0,0
Tre' McKitty,LAC,TE,23,1,0,4,3,0,0,0,0,0,0,24,0,2,0,1,0
Noah Fant,SEA,TE,25,1,1,4,3,0,0,0,0,0,0,16,0,2,0,0,0
Marquise Goodwin,SEA,WR,32,1,0,2,2,0,0,0,0,0,0,22,0,2,0,0,0
D.K. Metcalf,SEA,WR,25,1,1,7,7,0,0,0,0,0,0,36,0,2,0,1,1
Ray-Ray McCloud,SFO,WR,26,1,0,2,1,0,0,0,0,0,0,20,0,2,0,0,0
Rachaad White,TAM,RB,23,1,0,2,2,0,0,0,14,0,6,7,0,2,0,0,0
Armani Rogers,WAS,TE,25,1,0,1,1,0,0,0,0,0,0,23,0,2,0,0,0
Anthony Firkser,ATL,TE,27,1,0,2,1,0,0,0,0,0,0,6,0,1,0,0,0
Parker Hesse,ATL,TE,27,1,0,2,1,0,0,0,0,0,0,5,0,1,0,0,0
Dawson Knox,BUF,TE,26,1,1,2,1,0,0,0,0,0,0,5,0,1,0,0,0
D'Onta Foreman,CAR,RB,26,1,0,0,0,0,0,0,5,0,2,0,0,1,0,0,0
Shi Smith,CAR,WR,24,1,1,3,1,0,0,0,0,0,0,12,0,1,0,0,0
Darnell Mooney,CHI,WR,25,1,1,3,1,0,0,0,0,0,0,8,0,1,0,0,0
David Njoku,CLE,TE,26,1,1,1,1,0,0,0,0,0,0,7,0,1,0,0,0
A.J. Green,ARI,WR,34,1,1,4,2,0,0,0,0,0,0,13,0,1,0,0,0
Andy Isabella,ARI,WR,26,1,0,3,1,0,0,0,0,0,0,10,0,1,0,0,0
Simi Fehoko,DAL,WR,25,1,0,3,2,0,0,0,0,0,0,12,0,1,0,0,0
Randall Cobb,GNB,WR,32,1,0,3,2,0,0,0,0,0,0,14,0,1,0,0,0
Jeff Driskel,HOU,TE,29,1,0,0,0,0,0,0,5,0,1,0,0,1,0,0,0
Troy Hairston,HOU,RB,24,1,0,1,1,0,0,0,0,0,0,5,0,1,0,0,0
Brevin Jordan,HOU,TE,22,1,0,2,1,0,0,0,0,0,0,5,0,1,0,0,0
Jamal Agnew,JAX,WR,27,1,0,1,1,0,0,0,6,0,1,6,0,1,0,0,0
Noah Gray,KAN,TE,23,1,0,2,1,0,0,0,0,0,0,10,0,1,0,0,0
Alec Ingold,MIA,RB,26,1,1,2,1,0,0,0,2,0,1,8,0,1,0,0,0
Trent Sherfield,MIA,WR,26,1,0,2,1,0,0,0,0,0,0,8,0,1,0,0,0
Durham Smythe,MIA,TE,27,1,1,2,1,0,0,0,0,0,0,14,0,1,0,0,0
C.J. Ham,MIN,RB,29,1,0,1,1,0,0,0,0,0,0,6,0,1,0,0,0
K.J. Osborn,MIN,WR,25,1,1,4,3,0,0,0,0,0,0,14,0,1,0,0,0
Nelson Agholor,NWE,WR,29,1,0,5,3,0,0,0,0,0,0,28,0,1,0,1,1
DeVante Parker,NWE,WR,29,1,1,2,1,0,0,0,0,0,0,9,0,1,0,0,0
Wan'Dale Robinson,NYG,WR,21,1,0,1,1,0,0,0,0,0,0,5,0,1,0,0,0
Austin Hooper,TEN,TE,28,1,0,2,1,0,0,0,0,0,0,6,0,1,0,0,0
Chigoziem Okonkwo,TEN,TE,23,1,0,1,1,0,0,0,-4,0,1,11,0,1,0,0,0
Nick Westbrook-Ikhine,TEN,WR,25,1,1,2,1,0,0,0,0,0,0,13,0,1,0,0,0
Robert Woods,TEN,WR,30,1,1,2,1,0,0,0,0,0,0,13,0,1,0,0,0
Zach Pascal,PHI,WR,28,1,0,1,1,0,0,0,0,0,0,7,0,1,0,0,0
Jaylen Warren,PIT,RB,24,1,0,1,0,0,0,0,7,0,3,0,0,1,0,0,0
Brandon Powell,LAR,WR,27,1,0,1,1,0,0,0,3,0,1,10,0,1,0,0,0
Allen Robinson,LAR,WR,29,1,1,2,1,0,0,0,0,0,0,12,0,1,0,0,0
Mike Davis,BAL,RB,29,1,0,0,0,0,0,0,11,0,2,0,0,1,0,1,0
Justice Hill,BAL,RB,25,1,0,2,2,0,0,0,4,0,2,7,0,1,0,0,0
Patrick Ricard,BAL,RB,28,1,1,1,1,0,0,0,0,0,0,7,0,1,0,0,0
Sony Michel,LAC,RB,27,1,0,0,0,0,0,0,12,0,7,0,0,1,0,0,0
Josh Palmer,LAC,WR,24,1,1,4,3,0,0,0,4,0,1,5,0,1,0,0,0
Mike Williams,LAC,WR,28,1,1,4,2,0,0,0,0,0,0,10,0,1,0,0,0
Ross Dwelley,SFO,TE,27,1,0,2,1,0,0,0,0,0,0,11,0,1,0,0,0
Tyler Kroft,SFO,TE,30,1,1,2,1,0,0,0,0,0,0,9,0,1,0,0,0
Cameron Brate,TAM,TE,31,1,1,3,1,0,0,0,0,0,0,7,0,1,0,0,0
Russell Gage,TAM,WR,26,1,0,2,2,0,0,0,0,0,0,13,0,1,0,0,0
Bryan Edwards,ATL,,24,1,1,1,0,0,0,0,0,0,0,0,0,,0,0,0
Damien Williams,ATL,RB,30,1,1,0,0,0,0,0,2,0,2,0,0,,0,0,0
Reggie Gilliam,BUF,,25,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Taiwan Jones,BUF,,34,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
